M/Z,Intensity
110.06616,11.111113
110.28332,11.513066
110.50069,10.875819
110.71828,10.601309
110.9361,10.588234
111.15413,10.356213
111.37239,10.758168
111.59087,10.901962
111.80958,11.316993
112.0285,11.571891
112.24764,11.169938
112.46701,11.267975
112.6866,11.437905
112.90641,10.983663
113.12644,11.104578
113.34669,11.807186
113.56717,11.839866
113.78786,11.333333
114.00878,10.836607
114.22992,11.179735
114.45128,11.062094
114.67286,11.375815
114.89467,11.464053
115.11669,11.712415
115.33894,11.454249
115.56141,11.33007
115.7841,11.911757
116.00701,11.310466
116.23014,12.045745
116.4535,11.849671
116.67707,11.336605
116.90087,11.441174
117.12489,11.199353
117.34913,11.941164
117.5736,10.787595
117.79828,11.578425
118.02318,11.437908
118.24831,11.333335
118.47366,11.405227
118.69923,11.294117
118.92502,11.117649
119.15104,11.130723
119.37727,11.67647
119.60373,12.09476
119.83041,10.93465
120.05731,11.140524
120.28443,11.558819
120.51177,11.271246
120.73934,11.558818
120.96712,11.101314
121.19513,11.591494
121.42336,10.856214
121.65181,10.810464
121.88048,11.591494
122.10938,11.205886
122.33849,11.238564
122.56783,11.59477
122.79739,11.696073
123.02717,11.029417
123.25717,10.964056
123.48739,11.447707
123.71784,11.215693
123.9485,11.745092
124.17939,11.535945
124.4105,11.055564
124.64183,11.656859
124.87338,11.745096
125.10516,11.496732
125.33716,11.235296
125.56937,11.189546
125.80181,11.516342
126.03447,12.09476
126.26735,11.366016
126.50046,10.973864
126.73378,11.499992
126.96733,11.081707
127.2011,11.467313
127.43509,11.029417
127.6693,11.147057
127.90373,11.039212
128.13839,10.549028
128.37326,10.996726
128.60836,10.741836
128.84368,11.218953
129.07922,11.549009
129.31498,10.745112
129.55097,11.467315
129.78717,11.637252
130.0236,11.460788
130.26025,11.725488
130.49712,11.705878
130.73421,11.245102
130.97152,11.209152
131.20906,11.356209
131.44682,11.467319
131.68479,11.45752
131.92299,11.830059
132.16141,11.555555
132.40006,11.235297
132.63892,11.166668
132.87801,11.238563
133.11732,11.388887
133.35684,11.372544
133.59659,10.852942
133.83657,10.447724
134.07676,11.153584
134.31718,10.849681
134.55781,11.330057
134.79867,11.055557
135.03975,10.898694
135.28105,10.915023
135.52258,10.00002
135.76432,10.98692
136.00629,11.189542
136.24847,11.294113
136.49088,10.918307
136.73351,11.169928
136.97637,10.839876
137.21944,11.107845
137.46274,11.539206
137.70625,11.104582
137.94999,11.29085
138.19395,11.450976
138.43814,11.248364
138.68254,10.882352
138.92716,10.457523
139.17201,10.627451
139.41708,10.81699
139.66237,10.705884
139.90788,10.735293
140.15361,10.699343
140.39957,10.41504
140.64574,10.767968
140.89214,10.669931
141.13876,10.27451
141.3856,9.9019735
141.63266,10.591492
141.87995,10.310459
142.12745,10.179751
142.37518,11.133969
142.62313,10.620927
142.8713,11.078425
143.11969,11.035949
143.3683,11.091498
143.61714,10.732029
143.86619,10.555557
144.11547,10.539212
144.36497,10.274516
144.61469,10.535946
144.86463,10.686273
145.1148,10.692804
145.36518,10.176482
145.61579,10.513075
145.86662,11.127436
146.11767,10.568634
146.36894,10.493466
146.62044,10.55882
146.87215,10.366016
147.12409,10.431376
147.37625,10.715682
147.62863,10.679737
147.88123,10.539218
148.13405,10.588241
148.38709,11.049016
148.64036,11.264696
148.89385,10.725499
149.14756,10.826787
149.40149,10.160149
149.65564,10.810451
149.91001,11.00653
150.16461,10.823531
150.41943,10.725491
150.67447,10.705883
150.92973,10.764701
151.18521,10.480396
151.44091,10.450984
151.69683,10.633981
151.95298,10.450982
152.20935,10.388887
152.46594,10.202618
152.72275,10.281048
152.97978,10.529411
153.23704,10.725487
153.49451,10.705882
153.75221,10.60785
154.01013,10.973851
154.26827,10.950972
154.52663,10.369296
154.78522,10.774497
155.04402,10.349678
155.30305,10.215691
155.5623,10.398686
155.82177,10.104585
156.08146,10.424833
156.34137,10.470583
156.6015,10.147065
156.86186,10.215681
157.12244,9.9509892
157.38324,10.215685
157.64426,10.411758
157.9055,10.192814
158.16696,10.225484
158.42865,9.8856353
158.69056,10.428098
158.95269,10.588229
159.21504,10.388891
159.47761,10.32354
159.7404,10.885607
160.00342,10.607841
160.26665,10.192819
160.53011,10.281041
160.79379,10.078435
161.05769,10.10784
161.32181,9.973861
161.58616,10.130722
161.85072,10.447702
162.11551,10.189549
162.38052,10.290856
162.64575,10.728745
162.9112,10.4281
163.17688,9.8693042
163.44277,10.568611
163.70889,10.411766
163.97523,10.333335
164.24179,10.330074
164.50857,10.813718
164.77557,10.898688
165.0428,10.728759
165.31024,10.617652
165.57791,10.748368
165.8458,10.957512
166.11391,10.924841
166.38224,11.101309
166.6508,11.362744
166.91957,11.594754
167.18857,10.95427
167.45779,11.415021
167.72723,11.245096
167.99689,11.003277
168.26677,11.209137
168.53688,10.73857
168.80721,10.660136
169.07775,10.859468
169.34852,10.568639
169.61952,10.839867
169.89073,10.986915
170.16216,10.529418
170.43382,10.366027
170.7057,10.901942
170.97779,10.565363
171.25012,10.42811
171.52266,10.542473
171.79542,10.179748
172.06841,10.261443
172.34161,10.607837
172.61504,10.66666
172.88869,10.421569
173.16256,10.173213
173.43666,10.395426
173.71097,10.673198
173.98551,10.725486
174.26027,10.611124
174.53525,11.084951
174.81045,10.856223
175.08587,11.222206
175.36151,10.859487
175.63738,10.967307
175.91347,10.516347
176.18977,10.38563
176.46631,10.633981
