M/Z,Intensity
118.92502,13.218953
119.15104,13.264712
119.37727,14.17319
119.60373,13.398699
119.83041,13.581699
120.05731,13.676471
120.28443,13.859472
120.51177,13.316996
120.73934,13.143795
120.96712,13.473855
121.19513,13.565356
121.42336,13.254908
121.65181,13.653598
121.88048,14.388883
122.10938,14.369278
122.33849,13.964054
122.56783,13.745101
122.79739,13.918297
123.02717,13.718954
123.25717,13.441178
123.48739,13.415031
123.71784,13.241838
123.9485,14.035938
124.17939,13.640521
124.4105,13.045765
124.64183,14.094757
124.87338,13.415037
125.10516,13.241833
125.33716,13.493458
125.56937,13.06537
125.80181,13.843128
126.03447,13.450984
126.26735,13.519605
126.50046,13.12092
126.73378,13.245095
126.96733,12.99347
127.2011,13.45751
127.43509,13.101307
127.6693,12.777787
127.90373,13.486923
128.13839,13.725484
128.37326,13.235301
128.60836,13.48366
128.84368,13.725485
129.07922,13.359482
129.31498,13.496727
129.55097,13.075167
129.78717,13.124178
130.0236,12.663407
130.26025,13.124174
130.49712,12.637265
130.73421,13.245092
130.97152,13.297378
131.20906,12.562098
131.44682,12.53922
131.68479,12.986929
131.92299,13.477111
132.16141,12.611121
132.40006,12.696081
132.63892,13.032681
132.87801,13.55228
133.11732,13.18301
133.35684,13.173196
133.59659,12.503279
133.83657,12.980386
134.07676,12.784319
134.31718,13.117646
134.55781,13.339863
134.79867,12.944448
135.03975,12.895422
135.28105,12.526153
135.52258,13.042475
135.76432,12.741833
136.00629,12.761434
136.24847,12.382359
136.49088,12.55555
136.73351,12.205884
136.97637,11.970591
137.21944,11.96079
137.46274,12.503264
137.70625,12.68301
137.94999,13.156847
138.19395,12.205902
138.43814,12.970578
138.68254,12.800653
138.92716,12.545757
139.17201,12.797381
139.41708,12.59805
139.66237,13.411736
139.90788,11.66342
140.15361,11.816997
140.39957,12.271235
140.64574,12.183006
140.89214,12.006537
141.13876,11.88236
141.3856,12.359476
141.63266,12.689532
141.87995,12.166675
142.12745,12.379083
142.37518,12.444438
142.62313,11.996742
142.8713,12.362742
143.11969,12.46079
143.3683,12.983643
143.61714,12.134008
143.86619,12.967306
144.11547,12.669939
144.36497,12.660126
144.61469,12.287595
144.86463,12.999986
145.1148,12.607848
145.36518,12.594772
